Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,27075572.996163644,28209152.6548301,33802011.394700885,31472568.646328613,30052502.82204732,26828621.362859137,26828468.981675994,26209907.02823382,32901652.59357429,30078665.63632898,31217798.36904309,25973002.60116316,34006450.17631734,32542379.83594011,27184431.565621078,26991655.412827577,27001634.331450053,27765038.794121176,29265422.017967183,28571813.84977343,27682827.21611515,30193027.569131233,26724224.41405534,27688611.031586096,28157485.581192225,28724225.732289545,32038974.385847084,27104417.086163655,29153359.38106301,29986003.100701064,26136413.127399858,30147145.517282333,26920261.203806832,26253927.9438438,33782534.41066207,33960890.01702277,32286289.6781811,27767385.948129687,26460011.347446732,30963899.423855063,28623665.394449305,26613946.752455376,28971287.64731896,26060210.920997504,33361152.9019493,27477826.411756266,30732672.985590037,27812223.89430246,29215488.927582547,29499237.609136436,27010794.50822807,34002986.43111195,31932011.71183064,33682564.12531568,33206797.206116,30044424.493931193,33494855.29024834,26402018.230963208,27081099.331619192,26128685.920421217,27898264.89763,28298465.64534227,27557232.643134765,32502918.983421013,28096782.81671942,27617789.858400997,29456485.11916629,26733260.88370056,32220253.756852288,26313939.14651132,34187261.62616297,31901253.000314653,27098364.18966029,25877844.52714007,32361524.422546804,31204855.733756527,31440758.53795896,31890875.08379765,26310742.49179529,28107601.086651295,26574972.370455958,32868927.131085053,30314922.999306586,27933439.361809097,26244494.233766984,27807619.915670868,27897336.155236177,31447138.191702165,30466789.63855374,33125699.16536647,28826223.011203133,26598506.608139813,31272884.075235955,31779203.26212571,29654380.007927146,31887646.25988238,28962561.059591673,29243869.998354957,28543991.137581974,26003545.875118494,26524572.8791729
73,38140988.855014265,32869252.129420493,37871436.349913314,35118683.118601896,36674880.09229445,40409407.20371703,34601388.814057544,35882152.61869693,38986571.635353446,34438449.20340172,33231406.623566967,34923062.94750133,33901174.09713079,40616550.961558454,39478610.058573104,37843294.61464637,40071462.77540845,39436974.76411356,34102711.4324979,40268939.99501047,36962896.14535798,39472243.28334708,40302001.68648471,35147682.7960279,33494348.189903557,34431587.832862064,36015124.933664985,39571219.69431761,39971031.88485205,32674645.442150153,36695252.77462234,35938029.9037706,34385257.027341135,33572370.71275436,35303607.07899757,40740213.33323566,35189021.47445385,36770536.762043506,38494880.09977043,35510436.78956636,41010453.48636497,40923081.59035589,34621186.27841404,36572784.036983855,35011527.86894977,34884017.99842563,32912644.47835021,37620162.00621438,36619735.16448187,33028657.724198136,34834771.89104446,40415953.57172486,34524027.01845145,33771369.69257155,36510803.368996546,41140258.89079167,34543850.83235282,38205817.0507783,39043371.46146758,34508727.35396492,38730723.03119886,35543459.74820251,37833018.23008308,37844473.52325519,36929504.46039787,33337227.678840097,39733029.663056076,35169758.285842724,34102301.592340834,32943557.86184191,37445401.223940395,38256629.75500119,32751254.79456592,36707848.800558545,34420143.87439012,37953450.60643902,34005685.54565279,38381802.09609527,35694140.76264874,40682372.336257905,33712742.71802448,35331045.94506776,33521551.854610916,40569714.12346158,40126486.91720496,34670156.51471305,38092081.23381545,39563801.424998544,37111329.439621635,36872183.9577058,34542237.01957815,33359592.631251156,40312526.406743675,40342499.33812626,37840465.14940965,35314854.119996816,35395789.26288563,38709563.578380525,40311538.96486829,40217717.70721944,39214243.612126924
74,33985600.23990536,33027510.917331014,32335168.0,32335168.0,34277947.49366007,32853963.68848673,32335168.0,32335168.0,33132168.491637517,32335168.0,32335168.0,32572724.1701651,33270574.190026477,33075913.492811073,32335168.0,33369450.042645615,32335168.0,32335168.0,33536707.115663357,33064563.741442785,34037481.26164579,33103462.7611947,32668142.93194378,32335168.0,32335168.0,32335168.0,32335168.0,34640890.11385852,32335168.0,34246225.59237659,32974412.149850227,33772245.746282406,32348022.68966359,32710041.215075344,32335168.0,32335168.0,33419525.962586045,32335168.0,32335168.0,33044282.59851561,32335168.0,34482213.32061201,34547873.71574235,34357452.68090811,32335168.0,32335168.0,34423035.958996125,32335168.0,34609908.64795606,34595115.104480006,34055936.595318615,32335168.0,32335168.0,34046807.58260258,32335168.0,32335168.0,32612049.616339076,34461234.10517137,33290728.57391833,32676685.937760174,32335168.0,32895778.547036517,34723968.81599504,32335168.0,32424517.136863396,34174698.70048171,33508810.999508876,33295534.62655182,33322190.436312877,32335168.0,32335168.0,33843169.988938585,33846836.830074504,34124486.97783638,34349537.17379409,32390457.294530764,32342559.281560794,33789228.13394572,33066177.37812351,33319669.276940327,33777029.4810678,34236275.559052974,32335168.0,32335168.0,32335168.0,32716749.870335437,32335168.0,32335168.0,32543042.17171724,32335168.0,32777940.905305363,32335168.0,32335168.0,33907706.36977363,32335168.0,32335168.0,32443594.283678826,33651269.93414079,32335168.0,32934205.98093207,32335168.0
75,50201842.30435139,38817924.37496473,50054820.52692071,50206538.8690537,51788949.22296322,53238394.82846611,57321507.47685315,49808711.65886138,45307139.79687035,54367964.24995346,44060266.28223232,48082355.6372123,39458406.16171356,38188056.000583895,57105652.69740253,55034867.26422511,52746037.13474356,47364277.90229908,41727042.702924155,41323796.53364724,43567744.41363173,50346994.24037547,53050466.7455092,52161154.093529634,44277988.49615211,56978413.27534884,53431393.63224643,50430817.26844542,51368653.48463083,47618969.656547144,43507656.564207174,46096926.79277113,53757524.96709811,37925945.405062206,40358231.91951292,38682074.032309614,38555917.50020213,55353335.75162801,52871650.23629913,48924439.20697309,39921945.74109145,49341673.73891777,48907645.1354219,41724831.184876494,47959884.60093821,47114344.26442857,51436160.524567045,51750755.973374724,38665361.91612695,46542816.28010183,51599801.98464824,49593503.8563481,55370162.146771446,52136570.72429515,41479221.71362488,39269724.55576518,51870516.03236756,38215818.14963776,50944499.43711438,56739158.248918384,50776091.105435945,46867123.333412044,51884721.55076456,48543591.37800254,50287979.65094868,56759341.07450028,46817671.33053878,57081819.611687474,56168943.20835936,42265193.32719264,39240840.995604604,39992365.92032569,38017523.79000124,39840824.19729103,52534044.30046085,39284553.32803764,45211913.29557808,55180286.6917585,38138328.44294835,54683192.94233825,44323938.183471255,40408279.52918454,52758510.06614101,51650202.037670836,55713180.71445356,53385195.99092613,54503567.384100825,44328239.16111615,41826201.39514715,53639306.01884091,54558395.7736762,57561057.14992064,47451942.6719922,46480752.05772164,54061057.617854394,45734062.92067217,56584294.11167033,55401598.07475373,47843684.49569107,53643496.299877904,53703523.3416523
76,32849630.052618723,30351038.59366243,33046529.528235435,31505151.251215134,32751307.526320644,30970719.052684896,33019256.991924256,31168262.19715259,30087409.35542589,33057505.266411513,30317223.902667753,30968616.664195385,33230847.00910538,33232962.10425906,31769685.687023968,31996253.339775894,31337501.003468323,30894049.96454973,30995328.91620188,32154081.432713248,32463893.29089325,32615992.222252026,32608384.65609375,30316993.731861833,31468834.77458802,30220875.116684027,31676927.63867187,31317747.223687254,32988922.003146216,31058890.66877687,30390869.258343887,30464926.90255287,32499337.969108794,31943416.10854754,30345321.890500817,30296713.539474797,32264459.46954448,30264308.29660426,32733471.298104525,32284917.1192587,30288834.83152312,30298801.486266036,33372754.53466136,31125609.92015513,31115244.14813434,32698319.95952009,33219932.103778586,33370277.335236996,32467787.102119777,31131291.19248772,30294982.15535582,32560000.93514573,31711360.76259402,31268302.954271358,33061277.85033632,30374102.065434903,31463706.518922273,30088883.366617557,31395248.485631235,30217288.63986997,30395870.962871354,30392181.117803324,32063654.46597794,32439336.602854755,31808213.79539636,33277831.55989319,31127323.29125523,30872628.859852906,32914801.49849942,30695184.60491492,33281905.1342449,30091171.055813715,33307729.052702103,30179742.67615379,33002263.77591022,31592243.998442262,33397294.02603873,30267260.80905825,31693708.589683328,33305493.257658854,31574385.042982146,31986792.57967143,32244206.094748013,31354913.82358673,31979651.899120376,31811882.165337592,33041117.849925134,30186274.311509665,30859062.933622267,33232203.005144972,32998852.30336915,31358100.9515318,31950843.79014358,30848830.401600685,30593845.934682563,31381073.12107499,31065852.935486168,31809328.593907773,30278510.49521675,33325249.378876273,33371090.818183914
77,24507909.188418962,27711148.787011817,25412610.96704353,24845371.39078699,29351150.984779395,27520666.318398397,24802724.396556307,30728755.49740432,29475140.048334833,31280079.013438087,28101995.0320583,26509207.226274986,24876930.607490875,31037958.610057566,30092469.07498416,24768644.618182465,24763172.121760756,24864802.30369776,29305174.810959287,31811596.090429924,24799182.820152227,26235699.603604816,24866087.56855313,31565358.40269459,29752862.78914636,29699106.93991785,24891575.8747432,24875936.782972604,24834885.88572491,24771883.35567379,30073442.68239215,29338471.42587392,31988051.82119976,31944356.98666239,25686839.907313656,28715654.408223502,31208680.27752482,29859637.418141343,24827321.175151236,24886307.358127438,24793011.944943156,31340371.64458857,26406515.90669579,24821891.17729521,27335857.719580434,26576051.3187144,24859489.77174319,24788482.860554814,27334049.573282428,25188683.735455107,28762896.929213956,25186638.580955163,29895578.147813786,25636847.482461352,25764934.08768453,30242660.68932513,24872645.84819853,24794421.548697393,24763873.38067235,28519220.587571714,26606988.379983097,27795083.269721378,24817339.792372745,24795105.548391033,24759740.20008606,24857290.763621084,26175947.1304389,24869383.30834009,24882513.47006411,30632759.465726823,24856613.77603313,25099073.90302394,28923653.41065688,24870631.197365604,26632193.298604682,30039990.210594,31276117.908881627,24798212.25492585,30950864.14473844,24898375.422950644,24830484.279968083,24888801.436949916,31708862.32823766,24898521.09174138,24850951.96245358,26792659.502189588,24825230.35196636,24777540.517243322,24792930.752232887,24792688.68268273,24799614.13670507,24795818.417602744,26898660.076599114,24808316.333460398,24855862.44701065,30528228.311400425,24893105.27247519,27277099.21297221,24805541.080050863,24811337.963848006,24767381.832353227
78,9578449.34887542,9201144.37113365,9771966.20463578,9243181.807982486,8783485.67583333,8949717.9525089,10720366.83720746,9395826.923534349,10217979.781481445,11063629.1367549,18674119.829673152,8526378.893093243,23111347.446033493,16130427.671730014,8747340.561990144,26130194.169116423,28055178.37363663,8639683.111054359,9763050.615828028,23387754.60622792,21029375.70674017,9282278.671924615,9411524.965609549,10250266.189707126,10843969.805279337,15737825.016147092,10242153.448885325,10729507.605906863,20997271.3636931,8512693.691016905,9635822.014788067,19608440.33598483,27010520.77150342,11399840.376491556,12231642.428254623,8879630.443746373,10650786.658973277,12252147.680869807,9583940.68113246,9723308.87075979,10285727.071309913,8426218.187365325,9998351.77059729,9422449.879565233,10026556.69898941,8945169.61268469,26820050.1876626,14734002.184904562,18214484.24903314,22694586.01697795,10916427.706071697,8774208.012428757,12434873.291251637,14459204.627103966,20914585.30412463,10568783.728831857,8985867.906973496,9798960.206553558,10211797.791379623,16863762.1150788,13805404.8183341,10175433.684624005,30727019.27098502,15229857.316738293,9556643.99874127,8851574.644820191,9117459.493515376,9602093.78875158,9158178.938684063,9292929.36010255,9805827.765438197,9224249.607787162,27073959.461880296,8739400.527117481,11922216.638215646,10458098.453767862,30558647.200931467,8904965.54524272,10392813.79995931,30033249.326595623,25801662.431096405,23830225.113938972,9664275.23017362,9211308.437580489,17788770.713045258,28401297.355159428,13234939.778426507,13839366.529235736,9779195.509895256,21893625.933859717,9295410.998622289,10006681.10406364,10536388.701170934,11234299.930038253,9583624.330289138,8919530.419372872,15427070.959008869,9824231.573839135,14231151.630145274,9125286.513719533,10826359.857635744
79,20954715.35718427,21585064.82999767,21353294.0,21353294.0,21353294.0,21353294.0,24837812.77912011,21353294.0,23557071.479006827,21353294.0,22644112.32002103,23203992.903077867,22033461.421004493,21353294.0,21353294.0,21353294.0,24408036.549227457,23704606.329081085,24660490.98435453,21353294.0,22995186.544852287,24470701.19443813,21353294.0,21353294.0,23068105.478447013,21882934.865237426,23784325.56770055,21353294.0,23453187.87917764,21353294.0,21353294.0,21353294.0,23590499.078330353,22528150.202036064,21517331.610490013,21353294.0,24035883.894176297,21353294.0,23604898.55761154,21353294.0,21353294.0,21353294.0,21353294.0,23114252.29431267,21372640.979075298,21353294.0,24195004.433197007,21353294.0,21663034.97978491,24244058.617642105,22236854.748860966,21353294.0,24481309.689999256,22261533.240155432,21353294.0,21353294.0,23444354.10206006,22207232.22852264,21591263.932360884,24154595.027845122,23405751.190675065,21353294.0,21353294.0,21353294.0,23088201.00137007,21353294.0,21850338.256455224,23219858.17959807,24032790.92614768,21353294.0,23638024.549658608,21353294.0,23817207.266449217,21353294.0,21353294.0,23467611.07416566,21353294.0,21353294.0,22933918.706000544,22918158.64206983,22357113.38145897,22732624.305298902,21657143.40517717,21353294.0,21353294.0,21353294.0,24258129.04011495,21946363.101689488,21353294.0,21353294.0,24534301.545984894,21353294.0,21966546.76853034,21395173.3420377,22145938.689733546,21353294.0,23999779.700585373,24426450.086098254,21816510.78037708,22751843.195280638,24358041.99903194
80,9365136.221608717,19131283.11912685,8999503.033009976,13637788.692204539,14914218.483947001,10123442.6188002,20356487.182915807,28659544.899106883,28290438.982678123,10233972.407614062,8836861.987576814,30776987.1983041,24654528.268901035,8884141.058781452,28092152.134313855,25954936.805282895,11227691.259143623,14266511.439833784,10019454.44554473,8594866.49944932,9755405.493781865,23142419.810721382,8387412.90460896,9748378.296173016,10016003.024109919,12006198.78926639,28050777.28470925,9801542.86770841,9804055.701348042,20400829.90944706,10239677.402373688,9297736.021384737,10240594.356950635,8951158.805146623,9098194.02728611,10430661.28210979,10101901.620404448,27840614.736324262,9867954.618045924,13818177.5601608,15986034.613455068,8422433.365855591,17297971.63932354,9105018.075279634,29779775.043879844,8983461.507420728,10084101.254680986,8721450.286795247,31281785.75169233,10529498.869625917,14438912.480053088,8645829.537741534,20923506.693874024,9236905.551753558,27136189.904110223,9217182.400350872,9157375.38468216,8519499.098641157,10321819.409894295,13157566.122135488,8640168.953726485,21996073.94586192,10244109.129546491,11460612.091000233,10192271.869215336,10026739.40839504,12939387.300149724,9010681.540305888,9121125.187266322,25614683.139995582,29152403.967506178,9913126.369170418,9488678.593635587,16478340.262421777,10059726.60455878,8473301.472628854,9014457.16439479,19497666.108488258,17104433.651376992,8480376.538000835,9286841.16450225,9324510.998011466,17648487.799139284,8449812.985652545,8799081.125604369,23019194.497826323,9107123.23094458,16845267.359509565,9353926.282848034,8779766.691077279,9374574.177589444,19761735.16920903,25359237.110740922,24290468.217570405,10011926.076695355,17488754.891934633,9216539.52902829,9581390.150639283,27064098.33743622,8422050.432149114,8722107.715610404
81,17741328.83157805,16655046.651537372,16392589.617703823,16616766.813145436,19557114.074940592,16964080.981013868,28801540.82635646,26555502.71939662,16848872.80591598,16729631.668249235,16903685.890638933,19773673.587541863,16742135.845507992,20784429.49315931,16946695.81834438,18631734.952124383,16985357.801976863,16780345.20293514,30466975.788226202,24948103.37967336,16556964.908874616,28078905.589135602,17059606.329556283,28857686.16853386,26030380.07061314,16969564.38537591,16386709.76275534,16743024.023920769,18320841.768158402,21062968.715462834,16727409.121460414,16555869.225246783,27077591.04532323,31540278.01665286,17844811.125773158,16602647.635913951,16748277.341397444,16380807.134224907,29447247.001850165,16524602.309167275,19362298.826752935,16750806.90782029,18695353.513768412,21598656.414609957,26922683.36059712,16652926.515862118,16370105.251201183,16552293.978920618,29020893.37757896,28240789.765013754,19986195.86780869,20078862.767042026,22005189.048162445,16607990.717394086,29450624.930540565,16960240.053788006,16908673.143190898,17642609.667956658,16422161.522844594,16594838.621530749,24184611.439858697,16474018.894610586,20157541.68977102,16709263.194323685,16917583.72700646,16771991.88540445,16868924.400649805,23617707.64933946,16784188.923823584,19060396.315137547,17043135.950465754,21964419.92531743,30119938.461348217,24021550.39968745,16665255.435419573,16399320.482525771,16733742.623023061,19916476.166418415,16428615.848680915,17072537.203879606,19969170.185945462,16837912.432741433,25166246.116130978,16508461.84472122,16462931.998830317,23890679.827656966,17071270.99674414,22702804.26539003,16983477.603046052,16710786.993719902,26605027.120496728,26017261.87688724,22890722.366987504,16748042.6197603,19771754.5512382,16876596.31144278,16486730.309174892,29537257.003379285,16552197.017214969,30520240.919222422,16999655.122670937
